요구사항ID,요구사항명,기능ID,기능명,상세설명
ONBOARD01,온보딩 화면 초기 진입 및 계정 연결,ONBOARD01_BRAND01,브랜드 아이덴티티 표시,"Kaito 로고 이미지 80px 중앙 표시, 흰색 배경, 페이드인 애니메이션 0.5초"
ONBOARD01,온보딩 화면 초기 진입 및 계정 연결,ONBOARD01_BRAND02,서비스 타이틀 및 설명,"타이틀 Large Title 34px, 서브타이틀 Body 17px 회색, 중앙 정렬"
ONBOARD01,온보딩 화면 초기 진입 및 계정 연결,ONBOARD01_ACTION01,X 계정 연결 버튼,"iOS Primary Button 파랑 #007AFF 높이 50px 모서리 14px, 클릭 시 toast 표시 후 홈 화면 전환, 0.95 스케일 터치 피드백"
ONBOARD01,온보딩 화면 초기 진입 및 계정 연결,ONBOARD01_FLOW01,화면 전환 로직,"연결 성공 시 2초 후 DASH 화면 자동 전환, 페이드 애니메이션, setTimeout(2000ms) 비동기 처리"
DASH01,홈 대시보드 프로필 및 자동화 제어,DASH01_PROFILE01,사용자 프로필 헤더,"아바타 48px 원형 (Dicebear API), 이름 Headline 17px, 핸들 Caption 12px 회색, 팔로워 수 파랑, Safe Area pt-16"
DASH01,홈 대시보드 프로필 및 자동화 제어,DASH01_TOGGLE01,자동화 ON/OFF 토글,"iOS 스위치 36px×20px, ON 빨강 배경 Play 아이콘, OFF 파랑 배경 Pause 아이콘, 클릭 시 상태 토글 + toast, useState 로컬 상태 관리"
DASH02,홈 대시보드 실시간 수익 통계,DASH02_METRICS01,오늘 수익 카드,"레이블 Caption 12px, 값 Title 1 28px 볼드, 흰색 카드 그림자, 3컬럼 그리드 첫 번째"
DASH02,홈 대시보드 실시간 수익 통계,DASH02_METRICS02,총 포스팅 카드,"completedCount state 기반 숫자 표시, 스타일 METRICS01 동일, 3컬럼 그리드 두 번째"
DASH02,홈 대시보드 실시간 수익 통계,DASH02_METRICS03,평균 수익률 카드,"초록 텍스트 #34C759 상승 화살표, 스타일 METRICS01 동일, 3컬럼 그리드 세 번째"
DASH02,홈 대시보드 실시간 수익 통계,DASH02_LAYOUT01,통계 섹션 레이아웃,"px-5 py-4 컨테이너, grid-cols-3 gap-3, iPhone 16 Pro 393px 최적화, highlightElement 지원 빨간 outline"
