요구사항ID,요구사항명,기능ID,기능명,상세설명
REQ-001,온보딩,FUNC-001,Kaito 브랜딩,"앱 아이콘, 타이틀, 서비스 설명 문구 중앙 정렬 표시"
REQ-001,온보딩,FUNC-002,X 계정 연결,X 계정 연결하기 버튼 클릭 시 토스트 피드백 후 홈 화면 전환
REQ-002,홈 대시보드,FUNC-003,프로필 헤더,사용자 아바타 이미지와 이름 표시
REQ-002,홈 대시보드,FUNC-004,자동화 토글,"ON/OFF 토글로 자동화 활성화 제어, 상태별 색상 변경 (빨강/파랑)"
REQ-002,홈 대시보드,FUNC-005,실시간 수익 통계,"오늘 수익, 총 포스팅 수, 평균 수익률 카드 표시"
REQ-002,홈 대시보드,FUNC-006,추천 코인 섹션,"상위 4개 코인 카드 (순위, 이름, 24시간 변동률, Kaito 점수)"
REQ-002,홈 대시보드,FUNC-007,예약 포스팅 큐,"대기 중인 포스팅 목록 (내용, 코인 배지, 예상 수익, 예약 시간, 이미지)"
REQ-002,홈 대시보드,FUNC-008,포스팅 액션,취소/수정/지금 포스팅 버튼 및 로딩 애니메이션
REQ-003,스케줄러,FUNC-009,규칙 목록,"스케줄 카드 표시 (규칙명, 시간, 빈도, 타겟 코인, ON/OFF 토글)"
REQ-003,스케줄러,FUNC-010,새 규칙 추가,하단 고정 버튼으로 시트 모달 오픈
REQ-003,스케줄러,FUNC-011,규칙 설정 입력,"AI 자동생성 토글, 포스팅 시간, 반복 빈도, 타겟 코인, 톤 & 스타일 선택"
REQ-003,스케줄러,FUNC-012,예상 수익 계산,설정 조건에 따른 예상 수익 미리보기
REQ-003,스케줄러,FUNC-013,입력 검증,"시간/코인 필수 선택, AI OFF 시 톤 필수 체크"
REQ-004,활동 로그,FUNC-014,필터 탭,오늘/이번 주/전체 탭으로 로그 필터링 (iOS 세그먼트 컨트롤)
REQ-004,활동 로그,FUNC-015,로그 목록,"시간 역순 정렬, 상태 아이콘 (✅/⚠️), 시간, 내용, 코인 배지 표시"
REQ-004,활동 로그,FUNC-016,상세보기 시트,"전체 내용, 정확한 시간, 코인, 수익/에러 메시지, 트위터 링크 표시"
REQ-004,활동 로그,FUNC-017,재전송 기능,실패한 포스팅에 대한 재전송 버튼
REQ-005,시스템 모니터,FUNC-018,시스템 상태,"API 응답 시간, 시스템 가동률, 상태 인디케이터 표시"
REQ-005,시스템 모니터,FUNC-019,최근 활동,실시간 포스팅 활동 스트림 (액션 유형, 시간, 관련 정보)
REQ-005,시스템 모니터,FUNC-020,실시간 트렌드,"Kaito AI 감지 트렌드 (해시태그, 인기도, 관련 코인, 예상 임팩트)"
REQ-005,시스템 모니터,FUNC-021,성과 지표,"오늘 포스팅 수, 성공률, 평균 수익, 트렌드 정확도"
REQ-005,시스템 모니터,FUNC-022,연결 테스트,Kaito API 연결 테스트 실행 및 결과 피드백
REQ-006,설정,FUNC-023,연결된 계정,"X 계정 아이콘, 사용자명, 연결 끊기 버튼 표시"
REQ-006,설정,FUNC-024,API 키 관리 시트,"현재 API 키 마스킹 표시, 보기/숨기기, 복사, 변경 기능"
REQ-006,설정,FUNC-025,API 키 통계,"등록일, 마지막 사용, 총 요청 수, 상태 표시"
REQ-006,설정,FUNC-026,일반 설정,"알림, 포스팅 전 검토, 언어, 다크 모드 토글"
REQ-006,설정,FUNC-027,고급 설정,"자동 재시도 횟수, API 타임아웃, 디버그 모드 설정"
REQ-006,설정,FUNC-028,앱 정보,"버전, 이용약관, 개인정보 처리방침, 로그아웃"
REQ-007,공통 UI,FUNC-029,탭바 네비게이션,"홈/스케줄러/로그/모니터/설정 5개 탭, 활성 탭 파랑 강조, iOS blur 스타일"
REQ-007,공통 UI,FUNC-030,시트 모달,"하단 슬라이드업 애니메이션, 핸들바, 백드롭 닫기, 스크롤 지원 (최대 85vh)"
REQ-007,공통 UI,FUNC-031,토스트 알림,"상단 중앙 표시, 성공/에러/정보 타입별 아이콘, 2-3초 자동 숨김 (Sonner)"
REQ-008,디자인 시스템,FUNC-032,타이포그래피,Large Title(34px) ~ Caption 2(11px) 11단계 정의
REQ-008,디자인 시스템,FUNC-033,컬러 시스템,"Primary Blue(#007AFF), Success Green(#34C759), Destructive Red(#FF3B30) 등"
REQ-008,디자인 시스템,FUNC-034,코인별 색상,"$AI16Z(주황), $ELIZA(보라), $VIRTUAL(초록), $ZEREBRO(파랑)"
REQ-008,디자인 시스템,FUNC-035,그림자/모서리,"Card/Elevated/Modal 그림자 3단계, 8px~24px 모서리 정의"
REQ-009,발표 모드,FUNC-036,스토리보드 화면,Overview/Screens/Flows/Design 4개 탭 제공
REQ-009,발표 모드,FUNC-037,12개 플로우 시나리오,"회원가입, 자동화 제어, 스케줄 생성, 즉시 포스팅, 수정, 취소, 토글, 로그 상세, 모니터링, 설정 변경, 수익 분석, 코인 선택"
REQ-009,발표 모드,FUNC-038,하이라이트 시스템,빨간 outline(4px) + glow 효과로 현재 단계 요소 강조
REQ-009,발표 모드,FUNC-039,자동 화면 전환,각 단계에서 해당 화면으로 자동 네비게이션
REQ-009,발표 모드,FUNC-040,발표 컨트롤 오버레이,"하단 고정 UI, 플로우명/단계 표시, 이전/다음/종료 버튼"
REQ-010,데이터 관리,FUNC-041,포스팅 데이터,"id, content(한글/영어), coin, scheduledTime, expectedRevenue, image, status"
REQ-010,데이터 관리,FUNC-042,로그 데이터,"id, type(success/error), time, fullTime, title, content, coin, revenue, error"
REQ-010,데이터 관리,FUNC-043,스케줄 데이터,"id, name, time, frequency, coins[], tone, active"
REQ-010,데이터 관리,FUNC-044,트렌드 데이터,"tag, score, relatedCoins[], impact"
REQ-010,데이터 관리,FUNC-045,React 상태 관리,"useState 기반 로컬 상태, 화면 전환 및 모달 제어"
REQ-011,성능 및 UX,FUNC-046,애니메이션 성능,"모든 화면 전환 60fps 유지, motion/react 사용"
REQ-011,성능 및 UX,FUNC-047,터치 피드백,"100ms 이내 즉시 반응, 명확한 시각적 피드백"
REQ-011,성능 및 UX,FUNC-048,Safe Area 대응,상단 노치 및 하단 홈 인디케이터 영역 대응
REQ-011,성능 및 UX,FUNC-049,터치 타겟 크기,모든 인터랙티브 요소 최소 44px 보장
REQ-012,제약사항,FUNC-050,모의 데이터 전용,"실제 API 연동 없음, 하드코딩된 모의 데이터만 사용"
REQ-012,제약사항,FUNC-051,상태 비영구성,"새로고침 시 초기화, 로컬 스토리지 미사용"
REQ-012,제약사항,FUNC-052,프론트엔드 전용,백엔드 없이 클라이언트 사이드만 구현
REQ-012,제약사항,FUNC-053,실제 포스팅 금지,"트위터에 실제 게시하지 않음, 시뮬레이션만"
REQ-012,제약사항,FUNC-054,이미지 출처 제한,Unsplash API를 통한 무료 이미지만 사용
