요구사항ID,요구사항명,기능ID,기능명,상세설명
REQ-001,온보딩,FUNC-001,Kaito 브랜딩 표시,앱 아이콘과 타이틀을 중앙 정렬로 표시
REQ-001,온보딩,FUNC-002,서비스 설명 문구,"AI 기반 자동화 야핑 시스템임을 명확히 전달하는 설명 문구 표시"
REQ-001,온보딩,FUNC-003,X 계정 연결 버튼,"iOS 18 primary button 스타일의 ""X 계정 연결하기"" 버튼"
REQ-001,온보딩,FUNC-004,연결 성공 피드백,연결 성공 시 토스트 메시지 표시 후 홈 화면으로 자동 전환
REQ-002,홈 대시보드,FUNC-005,프로필 헤더,사용자 아바타 이미지와 사용자 이름 표시
REQ-002,홈 대시보드,FUNC-006,자동화 제어 토글,"ON/OFF 토글 버튼으로 자동화 활성화 제어, 상태에 따라 빨강(ON)/파랑(OFF) 색상 변경"
REQ-002,홈 대시보드,FUNC-007,자동화 상태 피드백,토글 변경 시 토스트 메시지로 상태 변경 알림
REQ-002,홈 대시보드,FUNC-008,실시간 수익 통계,"오늘 수익($XXX), 총 포스팅 수, 평균 수익률을 카드 형태로 표시"
REQ-002,홈 대시보드,FUNC-009,추천 코인 섹션,"상위 4개 추천 코인을 카드로 표시 (순위, 이름, 24시간 변동률, Kaito 신호 점수 포함)"
REQ-002,홈 대시보드,FUNC-010,코인별 색상 테마,"$AI16Z(주황), $ELIZA(보라), $VIRTUAL(초록), $ZEREBRO(파랑) 색상 적용"
REQ-002,홈 대시보드,FUNC-011,예약 포스팅 큐,"승인 대기 중인 포스팅 목록을 카드 형태로 표시 (텍스트, 코인 배지, 예상 수익, 예약 시간, 이미지)"
REQ-002,홈 대시보드,FUNC-012,포스팅 취소 버튼,회색 스타일의 취소 버튼으로 예약 포스팅 제거
REQ-002,홈 대시보드,FUNC-013,포스팅 수정 버튼,회색 스타일의 수정 버튼으로 포스팅 내용 편집 시트 오픈
REQ-002,홈 대시보드,FUNC-014,즉시 포스팅 버튼,"파랑 스타일의 ""지금 포스팅"" 버튼으로 즉시 게시 실행"
REQ-002,홈 대시보드,FUNC-015,포스팅 진행 애니메이션,포스팅 중 로딩 스피너 표시
REQ-002,홈 대시보드,FUNC-016,포스팅 성공 처리,성공 시 토스트 메시지 표시 후 큐에서 자동 제거
REQ-003,스케줄러,FUNC-017,자동화 규칙 목록,"활성/비활성 스케줄을 카드 형태로 표시 (규칙명, 실행시간, 반복빈도, 타겟코인, ON/OFF 토글)"
REQ-003,스케줄러,FUNC-018,규칙 토글 스위치,각 규칙별 활성화/비활성화 토글 및 상태 변경 토스트
REQ-003,스케줄러,FUNC-019,새 규칙 추가 버튼,"하단 고정 ""+ 새 규칙 추가"" 버튼으로 시트 모달 오픈"
REQ-003,스케줄러,FUNC-020,AI 자동 생성 토글,AI가 자동으로 포스팅 내용을 생성할지 여부 선택
REQ-003,스케줄러,FUNC-021,포스팅 시간 선택,드롭다운으로 포스팅 실행 시간 선택 (HH:MM 형식)
REQ-003,스케줄러,FUNC-022,반복 빈도 선택,"매일, 주 3회, 주 5회, 커스텀 중 선택"
REQ-003,스케줄러,FUNC-023,타겟 코인 선택,"멀티 셀렉트로 여러 코인 선택 가능 ($AI16Z, $ELIZA, $VIRTUAL, $ZEREBRO 등)"
REQ-003,스케줄러,FUNC-024,톤 & 스타일 선택,"공격적, 유머러스, 전문가, 커뮤니티 친화적 중 선택"
REQ-003,스케줄러,FUNC-025,예상 수익 미리보기,설정한 조건에 따른 예상 수익 계산 및 표시
REQ-003,스케줄러,FUNC-026,규칙 저장 기능,입력 검증 후 새 규칙을 목록에 추가
REQ-003,스케줄러,FUNC-027,입력 검증,"시간 필수 선택, 최소 1개 코인 선택, AI OFF 시 톤 선택 필수 체크"
REQ-004,활동 로그,FUNC-028,필터 탭,"오늘, 이번 주, 전체 탭으로 로그 필터링 (iOS 세그먼트 컨트롤 스타일)"
REQ-004,활동 로그,FUNC-029,로그 목록 표시,"시간 역순 정렬로 로그 카드 표시 (상태 아이콘, 시간, 내용 미리보기, 코인 배지)"
REQ-004,활동 로그,FUNC-030,성공/실패 상태 표시,✅ 성공 또는 ⚠️ 실패 아이콘으로 시각적 구분
REQ-004,활동 로그,FUNC-031,로그 상세보기,로그 카드 클릭 시 상세 정보 시트 모달 표시
